,theme,Name,Rating,communityScoreWeighted
0,Intense violence and sexual transgression,Get Out,5.0,4.18
1,Intense violence and sexual transgression,Fight Club,3.0,4.28
2,Intense violence and sexual transgression,The Shining,4.0,4.27
3,Intense violence and sexual transgression,"Three Billboards Outside Ebbing, Missouri",5.0,3.98
4,Intense violence and sexual transgression,The Silence of the Lambs,4.0,4.31
5,Intense violence and sexual transgression,Se7en,4.0,4.28
6,Intense violence and sexual transgression,Nightcrawler,4.0,4.03
7,Intense violence and sexual transgression,Room,4.0,4.0
8,Intense violence and sexual transgression,Psycho,4.0,4.3
9,Intense violence and sexual transgression,Split,1.0,3.51
10,Intense violence and sexual transgression,The Witch,4.5,3.87
11,Intense violence and sexual transgression,Shutter Island,1.5,4.05
12,Intense violence and sexual transgression,It Follows,2.5,3.55
13,Intense violence and sexual transgression,Halloween,3.5,3.9
14,Intense violence and sexual transgression,Halloween,4.0,3.28
15,Intense violence and sexual transgression,Halloween,3.5,2.73
16,Intense violence and sexual transgression,Velvet Buzzsaw,3.0,2.43
17,Intense violence and sexual transgression,Rosemary's Baby,3.0,4.16
18,Intense violence and sexual transgression,The Conjuring,3.0,3.59
19,Intense violence and sexual transgression,It Comes at Night,3.0,3.22
20,Intense violence and sexual transgression,Carrie,3.0,3.86
21,Intense violence and sexual transgression,A Nightmare on Elm Street,3.5,3.77
22,Intense violence and sexual transgression,The Birds,3.0,3.73
23,Intense violence and sexual transgression,Saw,4.0,3.57
24,Intense violence and sexual transgression,Hush,3.5,3.28
25,Intense violence and sexual transgression,The Purge,3.0,2.7
26,Intense violence and sexual transgression,The Others,3.0,3.7
27,Intense violence and sexual transgression,Gerald's Game,2.5,3.2
28,Intense violence and sexual transgression,The Visit,3.0,3.07
29,Intense violence and sexual transgression,Evil Dead,4.0,3.34
30,Intense violence and sexual transgression,Antichrist,3.0,3.4
31,Intense violence and sexual transgression,The Ring,3.0,3.32
32,Intense violence and sexual transgression,You're Next,2.5,3.37
33,Intense violence and sexual transgression,Friday the 13th,3.5,3.11
34,Intense violence and sexual transgression,Friday the 13th,2.5,2.51
35,Intense violence and sexual transgression,Paranormal Activity,3.5,2.87
36,Intense violence and sexual transgression,Sinister,3.0,3.29
37,Intense violence and sexual transgression,Audition,4.0,3.8
38,Intense violence and sexual transgression,Oculus,2.5,3.19
39,Intense violence and sexual transgression,The Woman in Black,2.5,2.88
40,Intense violence and sexual transgression,Mama,3.0,2.73
41,Intense violence and sexual transgression,Orphan,3.5,3.33
42,Intense violence and sexual transgression,Saw II,3.0,3.07
43,Intense violence and sexual transgression,Christine,4.0,3.46
44,Intense violence and sexual transgression,The Strangers,4.0,3.03
45,Intense violence and sexual transgression,1408,3.0,3.16
46,Intense violence and sexual transgression,Silent Hill,3.0,3.03
47,Intense violence and sexual transgression,Candyman,3.0,3.65
48,Intense violence and sexual transgression,V/H/S,4.0,2.88
49,Intense violence and sexual transgression,Hostel,4.0,2.73
50,Intense violence and sexual transgression,Creep 2,3.5,3.37
51,Intense violence and sexual transgression,The Devil's Rejects,4.0,3.37
52,Intense violence and sexual transgression,The Hills Have Eyes,3.5,3.04
53,Intense violence and sexual transgression,The Hills Have Eyes,2.5,3.13
54,Intense violence and sexual transgression,Saw IV,3.0,2.62
55,Intense violence and sexual transgression,Paranormal Activity 2,2.5,2.55
56,Intense violence and sexual transgression,The Human Centipede (First Sequence),3.0,2.01
57,Intense violence and sexual transgression,Saw V,2.5,2.56
58,Intense violence and sexual transgression,The Eyes of My Mother,5.0,3.37
59,Intense violence and sexual transgression,House of Wax,3.0,2.87
60,Intense violence and sexual transgression,Saw 3D,2.5,2.29
61,Intense violence and sexual transgression,Saw VI,3.0,2.75
62,Intense violence and sexual transgression,XX,4.0,2.36
63,Intense violence and sexual transgression,The Sacrament,3.0,3.01
64,Intense violence and sexual transgression,The Autopsy of Jane Doe,3.0,3.25
65,Intense violence and sexual transgression,Us,4.0,3.72
66,Intense violence and sexual transgression,Green Room,3.5,3.7
67,Intense violence and sexual transgression,Apostle,3.5,3.12
68,Intense violence and sexual transgression,Raw,5.0,3.7
69,Intense violence and sexual transgression,Casting JonBenet,3.5,3.24
70,Intense violence and sexual transgression,Midsommar,4.5,3.84
71,Intense violence and sexual transgression,Parasite,5.0,4.58
72,Intense violence and sexual transgression,The Lighthouse,3.5,4.05
73,Intense violence and sexual transgression,Southbound,4.0,3.02
74,Intense violence and sexual transgression,The Lodge,2.5,3.18
75,Intense violence and sexual transgression,The Handmaiden,4.0,4.37
76,Intense violence and sexual transgression,Burning,5.0,3.99
77,Intense violence and sexual transgression,I Saw the Devil,3.5,3.97
78,Intense violence and sexual transgression,Saw III,3.5,2.84
79,Intense violence and sexual transgression,Suspiria,3.5,3.75
80,Intense violence and sexual transgression,Suspiria,4.0,3.96
81,Intense violence and sexual transgression,Dogtooth,3.5,3.78
82,Intense violence and sexual transgression,Saint Maud,2.5,3.54
83,Intense violence and sexual transgression,The Strange Thing About the Johnsons,3.5,3.31
84,Intense violence and sexual transgression,A Classic Horror Story,2.5,2.77
85,Intense violence and sexual transgression,Possessor,4.0,3.62
86,Intense violence and sexual transgression,Let the Right One In,4.0,4.0
87,Intense violence and sexual transgression,The Lords of Salem,2.0,2.91
88,Intense violence and sexual transgression,Ju-on: The Grudge,4.5,3.35
89,Intense violence and sexual transgression,Funny Games,3.5,3.89
90,Intense violence and sexual transgression,Lake Mungo,4.0,3.46
91,Intense violence and sexual transgression,Onibaba,4.0,4.03
92,Intense violence and sexual transgression,Lights Out,3.5,2.78
93,Intense violence and sexual transgression,Tigers Are Not Afraid,4.5,3.66
94,Intense violence and sexual transgression,The Brood,3.5,3.58
95,Intense violence and sexual transgression,A Tale of Two Sisters,4.5,3.66
96,Intense violence and sexual transgression,Prom Night,1.5,1.82
97,Intense violence and sexual transgression,The Texas Chain Saw Massacre,4.0,3.9
98,Intense violence and sexual transgression,Titane,4.0,3.66
99,Intense violence and sexual transgression,The Invisible Man,4.0,3.52
100,Intense violence and sexual transgression,The Empty Man,3.5,3.24
101,Intense violence and sexual transgression,The Medium,3.5,3.36
102,Intense violence and sexual transgression,Ringu,4.0,3.57
103,Intense violence and sexual transgression,Hellraiser,4.5,3.54
104,Intense violence and sexual transgression,Noroi: The Curse,4.5,3.69
105,Intense violence and sexual transgression,The Wailing,5.0,3.92
106,Intense violence and sexual transgression,High Life,2.5,3.26
107,Intense violence and sexual transgression,Caveat,3.5,3.21
108,Intense violence and sexual transgression,Mother,4.0,4.06
109,Intense violence and sexual transgression,The Lobster,4.0,3.78
110,Intense violence and sexual transgression,Natural Born Killers,3.0,3.53
111,Intense violence and sexual transgression,Censor,3.5,3.24
112,Intense violence and sexual transgression,I Know What You Did Last Summer,3.0,2.9
113,Intense violence and sexual transgression,Creep,4.0,3.38
114,Intense violence and sexual transgression,You Won't Be Alone,3.5,3.58
115,Intense violence and sexual transgression,Hellbound: Hellraiser II,3.5,3.26
116,Intense violence and sexual transgression,Diabolique,4.0,4.08
117,Intense violence and sexual transgression,The Texas Chainsaw Massacre,2.5,2.91
118,Intense violence and sexual transgression,Texas Chainsaw Massacre,1.5,1.99
119,Intense violence and sexual transgression,Hellbender,3.0,3.22
120,Intense violence and sexual transgression,Fresh,3.0,3.52
121,Intense violence and sexual transgression,The Killing of a Sacred Deer,4.0,3.75
122,Intense violence and sexual transgression,Hereditary,4.5,4.01
123,Intense violence and sexual transgression,The Night House,3.0,3.43
124,Intense violence and sexual transgression,Tickled,3.5,3.72
125,Intense violence and sexual transgression,Taxi Driver,3.5,4.21
126,Intense violence and sexual transgression,Prisoners,4.5,4.21
127,Intense violence and sexual transgression,X,3.5,3.55
128,Intense violence and sexual transgression,Crimes of the Future,3.5,3.37
129,Intense violence and sexual transgression,Nightmare Alley,2.0,3.48
130,Intense violence and sexual transgression,We Need to Talk About Kevin,4.0,3.85
131,Intense violence and sexual transgression,The Babadook,4.0,3.45
132,Intense violence and sexual transgression,Videodrome,4.5,3.86
133,Intense violence and sexual transgression,Sympathy for Mr. Vengeance,4.0,3.86
134,Intense violence and sexual transgression,Oldboy,4.5,4.31
135,Intense violence and sexual transgression,Sympathy for Lady Vengeance,4.5,3.93
136,Intense violence and sexual transgression,Incantation,3.0,3.1
137,Intense violence and sexual transgression,Antlers,2.0,2.75
138,Intense violence and sexual transgression,Gone Girl,4.0,4.06
139,Epic heroes,The Dark Knight,3.0,4.44
140,Epic heroes,Star Wars: The Force Awakens,4.0,3.45
141,Epic heroes,Star Wars: The Last Jedi,4.0,3.13
142,Epic heroes,Star Wars,4.0,4.21
143,Epic heroes,Rogue One: A Star Wars Story,4.0,3.64
144,Epic heroes,The Empire Strikes Back,4.0,4.4
145,Epic heroes,Kill Bill: Vol. 1,1.0,4.15
146,Epic heroes,The Lord of the Rings: The Fellowship of the Ring,1.0,4.32
147,Epic heroes,Jurassic Park,5.0,4.11
148,Epic heroes,Scott Pilgrim vs. the World,2.0,3.87
149,Epic heroes,Return of the Jedi,4.0,4.01
150,Epic heroes,Harry Potter and the Prisoner of Azkaban,3.5,4.09
151,Epic heroes,Solo: A Star Wars Story,3.5,2.99
152,Epic heroes,Harry Potter and the Philosopher's Stone,4.0,3.78
153,Epic heroes,Avatar,0.5,3.39
154,Epic heroes,Harry Potter and the Deathly Hallows: Part 2,3.5,3.93
155,Epic heroes,Star Wars: Episode III - Revenge of the Sith,4.0,3.58
156,Epic heroes,Star Wars: Episode I - The Phantom Menace,3.0,2.75
157,Epic heroes,Jurassic World,3.0,3.01
158,Epic heroes,Star Wars: The Rise of Skywalker,4.0,2.55
159,Epic heroes,Deathstalker,1.0,2.24
160,Epic heroes,Harry Potter and the Chamber of Secrets,3.5,3.62
161,Epic heroes,The Batman,4.0,4.09
162,Epic heroes,Army of Darkness,4.0,3.74
163,Epic heroes,Everything Everywhere All at Once,4.0,4.48
164,"Monsters, aliens, sci-fi and the apocalypse",Star Wars: The Force Awakens,4.0,3.45
165,"Monsters, aliens, sci-fi and the apocalypse",Inception,2.0,4.18
166,"Monsters, aliens, sci-fi and the apocalypse",Star Wars: The Last Jedi,4.0,3.13
167,"Monsters, aliens, sci-fi and the apocalypse",Star Wars,4.0,4.21
168,"Monsters, aliens, sci-fi and the apocalypse",Rogue One: A Star Wars Story,4.0,3.64
169,"Monsters, aliens, sci-fi and the apocalypse",The Martian,4.0,3.72
170,"Monsters, aliens, sci-fi and the apocalypse",The Empire Strikes Back,4.0,4.4
171,"Monsters, aliens, sci-fi and the apocalypse",Jurassic Park,5.0,4.11
172,"Monsters, aliens, sci-fi and the apocalypse",Return of the Jedi,4.0,4.01
173,"Monsters, aliens, sci-fi and the apocalypse",Split,1.0,3.51
174,"Monsters, aliens, sci-fi and the apocalypse",Jaws,4.0,3.99
175,"Monsters, aliens, sci-fi and the apocalypse",It Follows,2.5,3.55
176,"Monsters, aliens, sci-fi and the apocalypse",Solo: A Star Wars Story,3.5,2.99
177,"Monsters, aliens, sci-fi and the apocalypse",Avatar,0.5,3.39
178,"Monsters, aliens, sci-fi and the apocalypse",Star Wars: Episode III - Revenge of the Sith,4.0,3.58
179,"Monsters, aliens, sci-fi and the apocalypse",The Cabin in the Woods,4.0,3.48
180,"Monsters, aliens, sci-fi and the apocalypse",Star Wars: Episode I - The Phantom Menace,3.0,2.75
181,"Monsters, aliens, sci-fi and the apocalypse",Bird Box,4.0,2.89
182,"Monsters, aliens, sci-fi and the apocalypse",It Comes at Night,3.0,3.22
183,"Monsters, aliens, sci-fi and the apocalypse",28 Days Later,2.5,3.72
184,"Monsters, aliens, sci-fi and the apocalypse",The Blair Witch Project,3.5,3.33
185,"Monsters, aliens, sci-fi and the apocalypse",I Am Legend,2.5,3.29
186,"Monsters, aliens, sci-fi and the apocalypse",The Birds,3.0,3.73
187,"Monsters, aliens, sci-fi and the apocalypse",Gremlins,3.0,3.64
188,"Monsters, aliens, sci-fi and the apocalypse",Night of the Living Dead,3.0,3.97
189,"Monsters, aliens, sci-fi and the apocalypse",Warm Bodies,3.0,2.92
190,"Monsters, aliens, sci-fi and the apocalypse",The Mist,3.0,3.42
191,"Monsters, aliens, sci-fi and the apocalypse",The Ritual,3.0,3.21
192,"Monsters, aliens, sci-fi and the apocalypse",Silent Hill,3.0,3.03
193,"Monsters, aliens, sci-fi and the apocalypse","As Above, So Below",2.5,3.15
194,"Monsters, aliens, sci-fi and the apocalypse",Jeepers Creepers,3.0,3.05
195,"Monsters, aliens, sci-fi and the apocalypse",Slither,3.0,3.29
196,"Monsters, aliens, sci-fi and the apocalypse",The Hills Have Eyes,3.5,3.04
197,"Monsters, aliens, sci-fi and the apocalypse",The Hills Have Eyes,2.5,3.13
198,"Monsters, aliens, sci-fi and the apocalypse",Children of the Corn,3.5,2.75
199,"Monsters, aliens, sci-fi and the apocalypse",V/H/S/2,2.5,2.97
200,"Monsters, aliens, sci-fi and the apocalypse",Rubber,3.0,2.82
201,"Monsters, aliens, sci-fi and the apocalypse",John Dies at the End,2.0,3.1
202,"Monsters, aliens, sci-fi and the apocalypse",Snakes on a Plane,3.0,2.43
203,"Monsters, aliens, sci-fi and the apocalypse",The Crazies,3.5,2.99
204,"Monsters, aliens, sci-fi and the apocalypse",Pontypool,3.0,3.43
205,"Monsters, aliens, sci-fi and the apocalypse",Cabin Fever,3.0,2.79
206,"Monsters, aliens, sci-fi and the apocalypse",Us,4.0,3.72
207,"Monsters, aliens, sci-fi and the apocalypse",Jurassic World,3.0,3.01
208,"Monsters, aliens, sci-fi and the apocalypse",Star Wars: The Rise of Skywalker,4.0,2.55
209,"Monsters, aliens, sci-fi and the apocalypse",It,4.0,3.52
210,"Monsters, aliens, sci-fi and the apocalypse",The Lighthouse,3.5,4.05
211,"Monsters, aliens, sci-fi and the apocalypse",Southbound,4.0,3.02
212,"Monsters, aliens, sci-fi and the apocalypse",Crawl,3.5,2.97
213,"Monsters, aliens, sci-fi and the apocalypse",A Quiet Place,3.5,3.71
214,"Monsters, aliens, sci-fi and the apocalypse",A Quiet Place Part II,4.0,3.56
215,"Monsters, aliens, sci-fi and the apocalypse",Possessor,4.0,3.62
216,"Monsters, aliens, sci-fi and the apocalypse",Pulse,4.0,3.65
217,"Monsters, aliens, sci-fi and the apocalypse",The Descent,4.5,3.64
218,"Monsters, aliens, sci-fi and the apocalypse",Alien,4.5,4.28
219,"Monsters, aliens, sci-fi and the apocalypse",Malignant,3.0,3.15
220,"Monsters, aliens, sci-fi and the apocalypse",The Invisible Man,4.0,3.52
221,"Monsters, aliens, sci-fi and the apocalypse",The Empty Man,3.5,3.24
222,"Monsters, aliens, sci-fi and the apocalypse",V/H/S/94,3.0,2.91
223,"Monsters, aliens, sci-fi and the apocalypse",High Life,2.5,3.26
224,"Monsters, aliens, sci-fi and the apocalypse",The Return of the Living Dead,3.5,3.85
225,"Monsters, aliens, sci-fi and the apocalypse",The Terror Within,2.0,2.43
226,"Monsters, aliens, sci-fi and the apocalypse",Don't Look Up,2.5,3.13
227,"Monsters, aliens, sci-fi and the apocalypse",Gaia,3.0,2.99
228,"Monsters, aliens, sci-fi and the apocalypse",Terrified,3.0,3.23
229,"Monsters, aliens, sci-fi and the apocalypse",The Host,3.5,3.71
230,"Monsters, aliens, sci-fi and the apocalypse",The Thing,4.5,4.32
231,"Monsters, aliens, sci-fi and the apocalypse",Train to Busan,3.5,3.94
232,"Monsters, aliens, sci-fi and the apocalypse",Army of Darkness,4.0,3.74
233,"Monsters, aliens, sci-fi and the apocalypse",Crimes of the Future,3.5,3.37
234,"Monsters, aliens, sci-fi and the apocalypse",Arrival,3.5,4.07
235,"Monsters, aliens, sci-fi and the apocalypse",After Yang,3.5,3.87
236,"Monsters, aliens, sci-fi and the apocalypse",Videodrome,4.5,3.86
237,"Monsters, aliens, sci-fi and the apocalypse",Nope,4.0,3.96
238,"Monsters, aliens, sci-fi and the apocalypse",Antlers,2.0,2.75
239,Politics and human rights,Fight Club,3.0,4.28
240,Politics and human rights,"Three Billboards Outside Ebbing, Missouri",5.0,3.98
241,Politics and human rights,The Godfather,4.0,4.54
242,Politics and human rights,The Social Network,4.0,3.95
243,Politics and human rights,Forrest Gump,5.0,4.13
244,Politics and human rights,The Shawshank Redemption,3.0,4.47
245,Politics and human rights,Spotlight,4.0,3.99
246,Politics and human rights,The Imitation Game,4.0,3.76
247,Politics and human rights,Schindler's List,4.5,4.43
248,Politics and human rights,Apocalypse Now,3.0,4.36
249,Politics and human rights,The Big Short,3.5,3.76
250,Politics and human rights,Citizen Kane,3.0,4.18
251,Politics and human rights,Casting JonBenet,3.5,3.24
252,Politics and human rights,Ma Rainey's Black Bottom,3.0,3.51
253,Politics and human rights,Judas and the Black Messiah,4.5,4.02
254,Politics and human rights,Nomadland,4.5,3.84
255,Politics and human rights,State of Play,3.0,3.26
256,Politics and human rights,The Act of Killing,4.5,4.24
257,Politics and human rights,Natural Born Killers,3.0,3.53
258,Politics and human rights,Don't Look Up,2.5,3.13
259,Politics and human rights,Tickled,3.5,3.72
260,Politics and human rights,Taxi Driver,3.5,4.21
261,Politics and human rights,The Godfather: Part II,4.5,4.53
262,Relationship comedy,Scott Pilgrim vs. the World,2.0,3.87
263,Relationship comedy,Moonrise Kingdom,3.0,3.99
264,Relationship comedy,The Truman Show,1.0,4.17
265,Relationship comedy,Silver Linings Playbook,3.0,3.63
266,Relationship comedy,Catch Me If You Can,4.0,4.0
267,Relationship comedy,Lady Bird,3.5,3.88
268,Relationship comedy,Marriage Story,3.0,3.99
269,Relationship comedy,Ratatouille,4.0,4.15
270,Relationship comedy,The Lobster,4.0,3.78
271,Relationship comedy,Her,4.0,4.04
272,Relationship comedy,The Nine Lives of Christmas,3.5,3.07
273,Relationship comedy,Licorice Pizza,3.0,3.7
274,Relationship comedy,Punch-Drunk Love,2.5,3.96
275,Relationship comedy,Jackass Forever,4.0,3.77
276,Relationship comedy,The Other Guys,3.0,3.21
277,Relationship comedy,Everything Everywhere All at Once,4.0,4.48
278,Humanity and the world around us,The Social Network,4.0,3.95
279,Humanity and the world around us,The Truman Show,1.0,4.17
280,Humanity and the world around us,Trainspotting,2.0,4.14
281,Humanity and the world around us,Citizen Kane,3.0,4.18
282,Humanity and the world around us,The Dirt,3.0,3.09
283,Humanity and the world around us,Free Solo,4.5,3.97
284,Humanity and the world around us,Casting JonBenet,3.5,3.24
285,Humanity and the world around us,Soul,4.5,4.02
286,Humanity and the world around us,Sound of Metal,4.5,4.13
287,Humanity and the world around us,Ma Rainey's Black Bottom,3.0,3.51
288,Humanity and the world around us,Nomadland,4.5,3.84
289,Humanity and the world around us,Burning,5.0,3.99
290,Humanity and the world around us,Portrait of a Lady on Fire,5.0,4.42
291,Humanity and the world around us,The Lobster,4.0,3.78
292,Humanity and the world around us,Her,4.0,4.04
293,Humanity and the world around us,The Alpinist,4.5,3.82
294,Humanity and the world around us,Drive My Car,4.0,4.14
295,Humanity and the world around us,The Master,3.5,3.97
296,Humanity and the world around us,After Yang,3.5,3.87
297,Faith and religion,The Shawshank Redemption,3.0,4.47
298,Faith and religion,Room,4.0,4.0
299,Faith and religion,The Truman Show,1.0,4.17
300,Faith and religion,The Witch,4.5,3.87
301,Faith and religion,Spotlight,4.0,3.99
302,Faith and religion,The Exorcist,3.5,3.99
303,Faith and religion,Antichrist,3.0,3.4
304,Faith and religion,The Mist,3.0,3.42
305,Faith and religion,The Omen,4.0,3.63
306,Faith and religion,There Will Be Blood,4.0,4.39
307,Faith and religion,Minari,4.5,4.08
308,Faith and religion,Dogtooth,3.5,3.78
309,Faith and religion,Saint Maud,2.5,3.54
310,Faith and religion,The Wicker Man,4.0,3.89
311,Faith and religion,The Alpinist,4.5,3.82
312,Faith and religion,The Master,3.5,3.97
313,War and historical adventure,Star Wars: The Last Jedi,4.0,3.13
314,War and historical adventure,Inglourious Basterds,3.0,4.29
315,War and historical adventure,Rogue One: A Star Wars Story,4.0,3.64
316,War and historical adventure,The Imitation Game,4.0,3.76
317,War and historical adventure,Schindler's List,4.5,4.43
318,War and historical adventure,Apocalypse Now,3.0,4.36
319,War and historical adventure,Avatar,0.5,3.39
